Date,Open,High,Low,Close,Adj Close,Volume
2019-12-20,226.800003,228.279999,224.500000,227.740005,223.757690,3333100
2019-12-23,227.110001,229.979996,226.399994,226.970001,223.001144,1096400
2019-12-24,227.139999,228.039993,226.259995,227.080002,223.109222,491900
2019-12-26,226.690002,227.869995,225.570007,227.869995,224.885620,1035300
2019-12-27,228.520004,229.289993,227.550003,229.080002,226.079803,749400
2019-12-30,228.559998,229.000000,227.229996,228.850006,225.852814,1259800
2019-12-31,228.970001,229.860001,227.490005,229.820007,226.810120,1199100
2020-01-02,229.679993,231.149994,228.009995,228.500000,225.507385,1426000
2020-01-03,227.559998,229.830002,227.000000,228.610001,225.615936,1598900
2020-01-06,228.479996,230.000000,227.889999,228.550003,225.556747,1526800
2020-01-07,227.130005,227.570007,221.619995,223.679993,220.750519,1463800
2020-01-08,223.479996,226.490005,222.520004,225.619995,222.665100,1433900
2020-01-09,225.500000,227.139999,225.360001,226.470001,223.503983,1376700
2020-01-10,228.089996,231.020004,227.440002,230.800003,227.777267,1578900
2020-01-13,231.250000,235.419998,231.149994,235.410004,232.326889,1840600
2020-01-14,235.130005,235.940002,232.839996,233.949997,230.886017,1217100
2020-01-15,234.500000,236.740005,234.500000,235.380005,232.297287,1152100
2020-01-16,235.000000,235.149994,231.940002,232.240005,229.198425,1782900
2020-01-17,232.889999,234.410004,232.589996,233.419998,230.362961,2352900
2020-01-21,233.919998,237.919998,233.000000,236.729996,233.629608,1827100
2020-01-22,237.910004,238.169998,234.259995,235.160004,232.080170,1294000
2020-01-23,235.160004,238.490005,235.009995,237.830002,234.715195,1485400
2020-01-24,238.000000,239.990005,236.720001,237.520004,234.409256,1284800
2020-01-27,236.320007,238.160004,235.679993,237.470001,234.359909,1197200
2020-01-28,237.110001,237.669998,236.330002,237.179993,234.073715,1051800
2020-01-29,237.429993,237.860001,232.860001,233.440002,230.382690,1434400
2020-01-30,232.419998,235.259995,231.309998,235.199997,232.119629,1271400
2020-01-31,234.360001,234.940002,230.850006,231.740005,228.704956,1700900
2020-02-03,232.979996,235.039993,232.110001,234.070007,231.004440,1560200
2020-02-04,234.419998,238.220001,233.020004,237.449997,234.340164,1105700
2020-02-05,237.500000,237.979996,235.199997,236.380005,233.284195,1338700
2020-02-06,237.179993,238.570007,236.350006,237.809998,234.695465,1257100
2020-02-07,238.440002,239.520004,237.809998,238.750000,235.623138,1237500
2020-02-10,239.679993,243.880005,238.789993,243.690002,240.498459,1576800
2020-02-11,246.550003,258.619995,246.550003,254.270004,250.939896,3231900
2020-02-12,254.279999,256.660004,252.080002,256.179993,252.824860,1625400
2020-02-13,255.619995,257.429993,254.429993,256.899994,253.535431,1146600
2020-02-14,257.000000,258.320007,255.259995,256.250000,252.893967,1600700
2020-02-18,255.300003,255.600006,252.679993,252.929993,249.617416,1998500
2020-02-19,251.240005,252.389999,247.850006,248.100006,244.850693,2618500
2020-02-20,247.979996,248.529999,244.720001,247.539993,244.298019,2150300
2020-02-21,247.940002,248.639999,246.800003,247.009995,243.774963,2570200
2020-02-24,244.820007,248.770004,243.610001,245.110001,241.899857,2329800
2020-02-25,247.919998,253.990005,244.160004,246.139999,242.916367,2268600
2020-02-26,246.139999,248.360001,240.000000,242.669998,239.491806,2024600
2020-02-27,239.990005,244.889999,232.899994,232.929993,229.879364,3168700
2020-02-28,226.699997,228.710007,218.029999,226.800003,223.829651,5188100
2020-03-02,229.029999,240.880005,228.080002,240.750000,237.596954,2718500
2020-03-03,240.750000,246.839996,238.839996,242.649994,239.472061,3502600
2020-03-04,245.580002,251.970001,245.320007,251.660004,248.364059,2350400
2020-03-05,248.550003,250.889999,243.529999,246.940002,243.705887,1969400
2020-03-06,243.169998,247.580002,237.899994,246.320007,243.094025,2693600
2020-03-09,231.429993,239.610001,225.000000,231.860001,228.823395,3209200
2020-03-10,236.740005,244.210007,229.850006,243.869995,240.676086,2658300
2020-03-11,237.369995,239.190002,228.679993,232.899994,229.849762,3360600
2020-03-12,216.289993,231.720001,204.139999,217.830002,214.977127,4734500
2020-03-13,225.529999,241.559998,220.020004,238.990005,235.860001,4220300
2020-03-16,206.649994,229.809998,201.369995,202.750000,200.094635,4093100
2020-03-17,210.169998,234.899994,203.630005,227.529999,224.550095,4527100
2020-03-18,210.000000,235.839996,206.169998,217.139999,214.296173,4210000
2020-03-19,217.570007,219.779999,201.520004,209.000000,206.262787,3847800
2020-03-20,207.000000,210.000000,192.369995,195.389999,192.831024,3940900
2020-03-23,196.000000,196.270004,174.320007,179.089996,176.744507,3890100
2020-03-24,187.789993,193.850006,179.250000,190.270004,187.778091,4221400
2020-03-25,188.899994,208.539993,186.029999,199.259995,196.650330,3201500
2020-03-26,198.149994,226.289993,198.000000,222.199997,219.289902,3413500
2020-03-27,216.190002,222.039993,211.729996,218.479996,215.618622,3367100
2020-03-30,222.679993,231.970001,221.339996,230.580002,227.560150,2581600
2020-03-31,228.460007,230.000000,215.919998,217.750000,214.898178,4629900
2020-04-01,205.809998,213.399994,202.029999,206.970001,204.259369,3772000
2020-04-02,207.000000,221.089996,205.589996,220.750000,217.858902,3993100
2020-04-03,219.160004,223.750000,216.820007,222.800003,219.882050,2858000
2020-04-06,228.020004,236.220001,227.000000,235.179993,232.099899,3050300
2020-04-07,241.110001,243.880005,227.029999,227.770004,224.786972,2226100
2020-04-08,229.639999,249.649994,228.000000,249.250000,245.985626,3329400
2020-04-09,248.500000,260.429993,248.199997,259.600006,256.200073,4331900
2020-04-13,256.700012,257.350006,246.759995,249.759995,247.518677,1830900
2020-04-14,255.080002,257.660004,252.520004,255.100006,252.810776,2011800
2020-04-15,252.929993,252.979996,243.210007,247.490005,245.269058,1909700
2020-04-16,249.589996,252.720001,247.550003,251.779999,249.520554,1640700
2020-04-17,256.559998,257.769989,248.080002,254.059998,251.780106,2328100
2020-04-20,252.029999,253.000000,248.509995,248.679993,246.448364,1281800
2020-04-21,245.210007,245.869995,239.100006,242.000000,239.828323,1925500
2020-04-22,246.229996,255.110001,245.559998,252.979996,250.709793,2041400
2020-04-23,252.190002,254.809998,248.139999,248.600006,246.369110,1419200
2020-04-24,250.279999,251.490005,243.770004,244.610001,242.414902,1776500
2020-04-27,247.000000,252.289993,245.240005,250.220001,247.974564,1557500
2020-04-28,255.250000,255.800003,242.720001,243.529999,241.344604,2091900
2020-04-29,251.020004,251.020004,235.669998,236.809998,234.684906,3505800
2020-04-30,234.110001,239.089996,232.710007,238.000000,235.864227,3410300
2020-05-01,233.240005,235.899994,232.589996,234.199997,232.098328,1896800
