Date,Open,High,Low,Close,Adj Close,Volume
2019-12-20,8.860000,8.860000,8.770000,8.800000,8.647130,5704800
2019-12-23,8.790000,8.850000,8.780000,8.840000,8.686436,3569800
2019-12-24,8.860000,8.890000,8.810000,8.860000,8.706087,1116800
2019-12-26,8.890000,8.930000,8.860000,8.880000,8.725739,2061000
2019-12-27,8.900000,8.900000,8.840000,8.860000,8.706087,2449700
2019-12-30,8.880000,8.890000,8.760000,8.760000,8.607824,4598500
2019-12-31,8.780000,8.820000,8.760000,8.780000,8.627477,2381800
2020-01-02,8.960000,9.030000,8.940000,9.010000,8.853482,5368000
2020-01-03,8.830000,8.890000,8.790000,8.850000,8.696262,6355200
2020-01-06,8.800000,8.950000,8.780000,8.910000,8.755219,3953500
2020-01-07,8.830000,8.870000,8.800000,8.820000,8.666782,4259900
2020-01-08,8.830000,8.960000,8.820000,8.900000,8.745392,4294600
2020-01-09,8.950000,8.970000,8.850000,8.870000,8.715913,4132000
2020-01-10,8.650000,8.720000,8.600000,8.630000,8.480083,8614000
2020-01-13,8.840000,8.930000,8.760000,8.910000,8.755219,6640000
2020-01-14,8.750000,8.820000,8.710000,8.790000,8.637303,7837800
2020-01-15,8.680000,8.870000,8.660000,8.830000,8.676609,6501300
2020-01-16,9.000000,9.090000,8.970000,9.080000,8.922265,5951600
2020-01-17,9.090000,9.090000,8.960000,9.010000,8.853482,5580200
2020-01-21,8.950000,9.090000,8.860000,8.890000,8.735566,11122000
2020-01-22,8.950000,8.990000,8.910000,8.960000,8.804351,6297900
2020-01-23,8.960000,9.010000,8.860000,8.980000,8.824002,8012400
2020-01-24,8.290000,8.450000,8.190000,8.330000,8.185294,29565800
2020-01-27,8.290000,8.330000,8.180000,8.250000,8.106685,11642900
2020-01-28,8.180000,8.350000,8.160000,8.320000,8.175468,11968700
2020-01-29,8.210000,8.240000,8.100000,8.120000,7.978942,13216900
2020-01-30,7.970000,7.990000,7.890000,7.990000,7.851201,9675100
2020-01-31,7.860000,7.910000,7.820000,7.860000,7.723459,10892600
2020-02-03,7.920000,8.000000,7.870000,7.890000,7.752938,4143400
2020-02-04,8.050000,8.150000,8.010000,8.100000,7.959290,6516100
2020-02-05,8.190000,8.200000,8.100000,8.170000,8.028073,5655000
2020-02-06,8.150000,8.370000,8.140000,8.320000,8.175468,8294400
2020-02-07,8.560000,8.880000,8.510000,8.770000,8.617651,26626900
2020-02-10,8.660000,8.730000,8.590000,8.700000,8.548866,8830400
2020-02-11,9.100000,9.200000,8.900000,8.990000,8.833829,17111200
2020-02-12,9.130000,9.240000,9.110000,9.210000,9.050008,9520100
2020-02-13,9.070000,9.160000,9.030000,9.080000,8.922265,5744800
2020-02-14,9.120000,9.140000,9.020000,9.080000,8.922265,4630200
2020-02-18,8.990000,9.020000,8.930000,8.990000,8.833829,4845000
2020-02-19,9.000000,9.040000,8.960000,8.980000,8.824002,5340100
2020-02-20,8.980000,8.990000,8.860000,8.930000,8.774872,4895600
2020-02-21,8.950000,8.970000,8.870000,8.910000,8.755219,5265700
2020-02-24,8.510000,8.670000,8.480000,8.590000,8.440778,7035700
2020-02-25,8.620000,8.620000,8.300000,8.350000,8.204947,8402700
2020-02-26,8.410000,8.820000,8.330000,8.470000,8.322863,18941600
2020-02-27,8.260000,8.370000,8.110000,8.150000,8.008421,10160900
2020-02-28,7.890000,8.050000,7.770000,8.040000,7.900332,11808800
2020-03-02,8.060000,8.120000,7.910000,8.080000,7.939637,10196800
2020-03-03,8.160000,8.270000,7.880000,7.950000,7.811895,8865400
2020-03-04,8.030000,8.130000,7.950000,8.120000,7.978942,4128900
2020-03-05,7.870000,7.950000,7.790000,7.840000,7.703806,5837400
2020-03-06,7.610000,7.720000,7.510000,7.610000,7.477802,10537500
2020-03-09,7.160000,7.420000,7.080000,7.110000,6.986488,10841900
2020-03-10,7.510000,7.520000,7.210000,7.470000,7.340234,20980000
2020-03-11,7.370000,7.400000,7.020000,7.120000,6.996314,7960600
2020-03-12,6.580000,6.590000,6.160000,6.220000,6.111948,9318900
2020-03-13,6.990000,7.040000,6.450000,6.960000,6.839094,11422400
2020-03-16,6.250000,6.590000,6.150000,6.170000,6.062817,7565400
2020-03-17,6.700000,6.950000,6.550000,6.860000,6.740831,7639300
2020-03-18,6.680000,7.060000,6.500000,6.780000,6.662220,9963000
2020-03-19,6.810000,7.280000,6.750000,7.110000,6.986488,13110000
2020-03-20,7.100000,7.270000,6.920000,6.950000,6.829267,9338000
2020-03-23,7.000000,7.120000,6.750000,6.790000,6.672047,11035300
2020-03-24,7.300000,7.480000,7.180000,7.460000,7.330408,7623100
2020-03-25,7.330000,7.600000,7.140000,7.430000,7.300929,10484700
2020-03-26,7.290000,7.600000,7.290000,7.600000,7.467976,6824200
2020-03-27,7.360000,7.570000,7.240000,7.400000,7.271450,11201900
2020-03-30,7.620000,7.950000,7.550000,7.930000,7.792243,9853500
2020-03-31,7.870000,8.290000,7.840000,8.090000,7.949464,13319000
2020-04-01,7.810000,7.960000,7.730000,7.770000,7.709352,8389100
2020-04-02,7.800000,7.940000,7.700000,7.930000,7.868104,9466200
2020-04-03,7.730000,7.810000,7.620000,7.720000,7.659742,5915200
